qualificationRequestToReject	qualificationRequestToRejectComment
364GXXRBACKMOZU51STOPJHA4XNRDU	Summaries missing arguments in the discussion , example the cdc statistics argument, shorter than the word length
3PNLE46MR7XA982OCXZMYXOFHQAQ9F	Summariies should be in your own words expressing the key arguments of discussion, see the sample
3LHOPNBS37TV49T9PUZOONI8N7F6AC	Summaries missing arguments in the discussion , example the cdc statistics argument, shorter than the word length
3I1LW73G9Y4TIWFSEAE8BN58VDT7HR	Summaries missing arguments in the discussion , example the cdc statistics argument, shorter than the word length
377R07Z23F4F9HFMKWKFBU9DR377ZE	summary not upto the mark
377R07Z23F4F9HFMKWKFBU9DR377ZE	summary not upto the mark
3O1OMUXMXCNBYGVGDU0KMQUA5J0J1E	summary not upto the mark
3X52A8SL87YR7U8CO4UO0IZDIFXPCA	summary not upto the mark
3UW0NVDIK5UBD8PPIGT3YIU7QOPI3T	Summaries missing arguments in the discussion , example the cdc statistics argument, shorter than the word length
3ZB97953P1CPFZK1GVTLBLQ8WT6QZ2	Summaries missing arguments in the discussion , example the cdc statistics argument, shorter than the word length
3535HJM9VYCFGHJIA1YJOOL9G9EFC1	Summaries missing arguments in the discussion  shorter than the word length
37GX30WKZVQEVS19QHZBD3RC476H5U	Summaries missing arguments in the discussion  shorter than the word length
3KF5KNC1NJ2XNT3FVDUG7E21MHIYAE	summaries missing arguments in the discussion  shorter than the word length
3KF5KNC1NJ2XNT3FVDUG7E21MHIYAE	summaries missing arguments in the discussion  shorter than the word length
CH37Q2TEIW9O3BC8HSVMFN4RKDR40	summaries missing arguments in the discussion  shorter than the word length
3GZ8VBIJ3GQWU82HJWYVYM7IYUJOJF	summaries missing arguments in the discussion  shorter than the word length
3N3MO7TM29HYO1BN75AFO7TAV2VYZL	summaries missing arguments in the discussion  shorter than the word length
3YXGK7X08SHCXGBT1J48O0P5ZCIYHZ	summaries missing arguments in the discussion  shorter than the word length
3158K16C5BM3KSVDS9SQ7BSVIQD50P	summaries missing arguments in the discussion  shorter than the word length	
